,3251
state/country: arizona; county: maricopa; town/area: wickenberg; mine/site: purple passion,2
state/country: russia; county: siberia; town/area: lake baikal; mine/site: n/a,2
state/country: michigan; county: dickinson; town/area: randville; mine/site: n/a,2
state/country: mexico; county: baja california; town/area: los gavilanes; mine/site: n/a,2
state/country: china; county: west fujian province; town/area: san ming; mine/site: n/a,2
state/country: california; county: san benito; town/area: coalinga; mine/site: gem mine,2
state/country: madagascar; county: n/a; town/area: n/a; mine/site: n/a,2
state/country: mexico; county: san luis potosi; town/area: n/a; mine/site: n/a,2
state/country: new york; county: putnam; town/area: brewster; mine/site: tilly foster,2
state/country: michigan; county: houghton; town/area: painsdale; mine/site: champion smelter,2
state/country: north carolina; county: cleveland; town/area: kings mtn.; mine/site: foote spodumene,2
state/country: california; county: marin; town/area: reed station; mine/site: n/a,2
state/country: wisconsin; county: douglas; town/area: south range; mine/site: south range,2
"state/country: new jersey; county: sussex; town/area: franklin; mine/site: parker shaft, franklin",2
state/country: nevada; county: lyon; town/area: ludwig; mine/site: n/a,2
state/country: arizona; county: gila; town/area: christmas; mine/site: christmas copper,2
state/country: california; county: fresno; town/area: rush creek; mine/site: esquire no. 1,2
state/country: california; county: san benito; town/area: new idria district; mine/site: dallas gem,2
state/country: brazil; county: minas gerias; town/area: teofilo otoni; mine/site: marambaia,2
state/country: china; county: sichuan; town/area: cheng zhu; mine/site: xue bao diang mt.,2
state/country: brazil; county: minas gerias; town/area: capoeirana; mine/site: emerald,2
state/country: australia; county: south australia; town/area: n/a; mine/site: n/a,2
state/country: new york; county: st. lawrence; town/area: richville; mine/site: bush farm,2
state/country: kazakhstan; county: khirgiz steppes; town/area: alytyn-tube; mine/site: n/a,2
state/country: tadszhikistan; county: n/a; town/area: dara-i-pioz; mine/site: n/a,2
state/country: california; county: alameda; town/area: berkeley hills; mine/site: n/a,2
state/country: south dakota; county: custer; town/area: custer; mine/site: n/a,2
state/country: new york; county: st. lawrence; town/area: balmat; mine/site: gouveneur talc,2
state/country: russia; county: kola peninsula; town/area: lovozero massif; mine/site: alluaive mt.,2
state/country: russia; county: kola peninsula; town/area: lovozero massif; mine/site: karnasurt mt.,2
state/country: india; county: maharashtra; town/area: n/a; mine/site: n/a,2
state/country: namibia; county: windhoek; town/area: n/a; mine/site: east area quarry,2
state/country: california; county: los angeles; town/area: catalina island; mine/site: little harbor,2
state/country: new zealand; county: westland; town/area: rimu; mine/site: n/a,2
state/country: california; county: contra costa; town/area: richmond; mine/site: mira vista country club,2
state/country: canada; county: ontario; town/area: dungannon; mine/site: n/a,2
state/country: italy; county: latium; town/area: rome; mine/site: sacrofano quarry,2
state/country: russia; county: yakutia republic; town/area: amudikha river; mine/site: n/a,2
state/country: oregon; county: grant; town/area: beech creek; mine/site: n/a,2
state/country: canada; county: british columbia; town/area: kamloops lake; mine/site: n/a,2
state/country: antarctica; county: ross island; town/area: mcmurdo station; mine/site: n/a,2
state/country: ecuador; county: galapagos isi.; town/area: santiago; mine/site: james bay,2
state/country: california; county: modoc; town/area: glass mtn.; mine/site: lyon's peak road,2
state/country: norway; county: jan mayen; town/area: n/a; mine/site: beerenbaum,2
state/country: michigan; county: marquette; town/area: lake michigammie; mine/site: mt. shasta,2
state/country: svalbard; county: spitzbergen; town/area: liefdefjord; mine/site: n/a,2
state/country: wisconsin; county: n/a; town/area: saxon; mine/site: n/a,2
state/country: svalbard; county: spitzbergen; town/area: bockfjorden; mine/site: jotunkjeldane thermal spring,2
state/country: ecuador; county: galapagos isi.; town/area: floreana; mine/site: punta cormorant,2
state/country: china; county: kwangtung; town/area: n/a; mine/site: guang dong,2
state/country: czechoslovakia; county: n/a; town/area: n/a; mine/site: n/a,2
geographic origin,1
"al., u.s.a",1
west indies,1
burma,1
br col,1
"ak., u.s.a.",1
